isco88_codigo,isco08_codigo,n_candidatos,es_ambiguo
0110,0110,3,TRUE
0110,0210,3,TRUE
0110,0310,3,TRUE
1110,1111,1,FALSE
1120,1112,1,FALSE
1130,1113,1,FALSE
1141,1114,1,FALSE
1142,1114,1,FALSE
1143,1114,1,FALSE
1210,1120,1,FALSE
1221,1311,2,TRUE
1221,1312,2,TRUE
1222,1321,2,TRUE
1222,1322,2,TRUE
1223,1323,2,TRUE
1223,3123,2,TRUE
1224,1420,1,FALSE
1225,1411,2,TRUE
1225,1412,2,TRUE
1226,1324,2,TRUE
1226,1330,2,TRUE
1227,1346,1,FALSE
1228,1219,1,FALSE
1229,1213,11,TRUE
1229,1219,11,TRUE
1229,1341,11,TRUE
1229,1342,11,TRUE
1229,1343,11,TRUE
1229,1344,11,TRUE
1229,1345,11,TRUE
1229,1349,11,TRUE
1229,1439,11,TRUE
1229,2654,11,TRUE
1229,3435,11,TRUE
1231,1211,2,TRUE
1231,1219,2,TRUE
1232,1212,1,FALSE
1233,1221,1,FALSE
1234,1222,1,FALSE
1235,1324,1,FALSE
1236,1330,1,FALSE
1237,1223,1,FALSE
1239,1213,1,FALSE
1311,6111,11,TRUE
1311,6112,11,TRUE
1311,6113,11,TRUE
1311,6114,11,TRUE
1311,6121,11,TRUE
1311,6122,11,TRUE
1311,6130,11,TRUE
1311,6210,11,TRUE
1311,6221,11,TRUE
1311,6222,11,TRUE
1311,6223,11,TRUE
1312,1321,2,TRUE
1312,1322,2,TRUE
1313,1323,1,FALSE
1314,5221,1,FALSE
1315,1411,2,TRUE
1315,1412,2,TRUE
1316,1324,2,TRUE
1316,1330,2,TRUE
1317,1346,1,FALSE
1318,1219,1,FALSE
1319,1431,1,FALSE
2111,2111,1,FALSE
2112,2112,1,FALSE
2113,2113,1,FALSE
2114,2114,1,FALSE
2121,2120,1,FALSE
2122,2120,1,FALSE
2131,2511,5,TRUE
2131,2512,5,TRUE
2131,2521,5,TRUE
2131,2522,5,TRUE
2131,2523,5,TRUE
2132,2514,1,FALSE
2139,2513,3,TRUE
2139,2519,3,TRUE
2139,2529,3,TRUE
2141,2161,3,TRUE
2141,2162,3,TRUE
2141,2164,3,TRUE
2142,2142,1,FALSE
2143,2151,1,FALSE
2144,2152,2,TRUE
2144,2153,2,TRUE
2145,2144,1,FALSE
2146,2145,1,FALSE
2147,2146,1,FALSE
2148,2165,1,FALSE
2149,2141,3,TRUE
2149,2143,3,TRUE
2149,2149,3,TRUE
2211,2133,1,FALSE
2212,2212,1,FALSE
2213,2132,1,FALSE
2221,2211,2,TRUE
2221,2212,2,TRUE
2222,2261,1,FALSE
2223,2250,1,FALSE
2224,2262,1,FALSE
2229,2263,2,TRUE
2229,2269,2,TRUE
2230,1342,6,TRUE
2230,1343,6,TRUE
2230,2221,6,TRUE
2230,2222,6,TRUE
2230,3221,6,TRUE
2230,3222,6,TRUE
2310,2310,1,FALSE
2320,2330,1,FALSE
2331,2341,1,FALSE
2332,2342,1,FALSE
2340,2352,1,FALSE
2351,2351,1,FALSE
2352,2351,1,FALSE
2359,2354,1,FALSE
2411,2411,2,TRUE
2411,2412,2,TRUE
2412,2423,2,TRUE
2412,2424,2,TRUE
2419,2413,5,TRUE
2419,2421,5,TRUE
2419,2422,5,TRUE
2419,2431,5,TRUE
2419,2432,5,TRUE
2421,2611,1,FALSE
2422,2612,1,FALSE
2429,2619,1,FALSE
2431,2621,1,FALSE
2432,2622,1,FALSE
2441,2631,1,FALSE
